name	smiles	exact mass	formula	logP	rindex	rtime
CITRATE	OC(=O)CC(O)(CC(O)=O)C(O)=O	192.0270	C6H8O7	-1.32	306	1.7
PURINE	N1C=NC2=C1C=NC=N2	120.0436	C5H4N4	-0.34	308	1.8
KYNURENINE	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O	208.0848	C10H12N2O3	-1.91	403	2.7
INOSINE	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	268.0808	C10H12N4O5	-2.48	321	1.9
ISOLEUCINE	CC[C@H](C)[C@H](N)C(O)=O	131.0946	C6H13NO2	-1.51	323	1.9
METHYLTHIOADENOSINE	CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N	297.0896	C11H15N5O3S	-0.61	487	5.7
THYMIDINE	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	242.0903	C10H14N2O5	-1.12	401	2.7
XANTHINE	O=C1NC2=C(NC=N2)C(=O)N1	152.0334	C5H4N4O2	-0.21	301	1.7
TRYPTOPHAN	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	204.0899	C11H12N2O2	-1.09	475	5.3
SUCCINATE SEMIALDEHYDE	OC(=O)CCC=O	102.0317	C4H6O3	-0.56	311	1.8
LACTATE	C[C@H](O)C(O)=O	90.0317	C3H6O3	-0.47	307	1.7
URIDINE	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	244.0695	C9H12N2O6	-2.42	306	1.7
SUCCINATE	OC(=O)CCC(O)=O	118.0266	C4H6O4	-0.40	332	2.0
PHENYLALANINE	N[C@@H](CC1=CC=CC=C1)C(O)=O	165.0790	C9H11NO2	-1.18	406	2.9
GUANOSINE	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	283.0917	C10H13N5O5	-2.71	316	1.8
TYROSINE	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	181.0739	C9H11NO3	-1.49	309	1.8
GUANINE	NC1=NC(=O)C2=C(N1)N=CN2	151.0494	C5H5N5O	-0.59	316	1.8
FOLATE	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	441.1397	C19H19N7O6	-0.68	571	10.7
