name	smiles	exact mass	formula	logp	mix	rindex	rtime
KYNURENINE	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O	208.0848	C10H12N2O3	-1.91	P1_A	402	1.4
INOSINE	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	268.0808	C10H12N4O5	-2.48	P1_B	309	0.9
ISOLEUCINE	CC[C@H](C)[C@H](N)C(O)=O	131.0946	C6H13NO2	-1.51	P1_B	315	1.0
P-HYDROXYPHENYLACETATE	NCCC(O)=O	152.0468	C8H8O3	-3.17	P1_C	546	4.0
TETRAHYDROFOLATE	NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1	445.1710	C19H23N7O6	-2.22	P1_D	554	4.2
METHYLTHIOADENOSINE	CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N	297.0896	C11H15N5O3S	-0.61	P1_D	488	3.0
THYMIDINE	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	242.0903	C10H14N2O5	-1.12	P1_D	400	1.4
DIHYDROFOLATE	NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CN2)C(=O)N1	443.1553	C19H21N7O6	-1.44	P1_D	539	3.9
TRYPTOPHAN	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	204.0899	C11H12N2O2	-1.09	P1_E	474	2.7
THYMINE	CC1=CNC(=O)NC1=O	126.0429	C5H6N2O2	-0.46	P1_E	335	1.1
PHENYLALANINE	N[C@@H](CC1=CC=CC=C1)C(O)=O	165.0790	C9H11NO2	-1.18	P1_F	406	1.5
GUANOSINE	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	283.0917	C10H13N5O5	-2.71	P1_F	304	0.9
GLYCEROL	OCC(O)CO	92.0473	C3H8O3	-1.84	P1_G	575	4.5
