Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_00003	71.01396502	1.527515418	946.2992554	806.0879517	796.5209961	771.9625854	713.6080322
Cluster_00004	72.33667328	1.529377484	1402.121338	1427.5448	1334.492432	1400.098511	1503.299194
Cluster_00006	86.37419754	1.94607265	7245.52832	8062.005859	8196.894531	8502.90918	9668.902344
Cluster_00018	66.03700529	1.454696936	1306.345459	1389.757324	1338.029419	1341.178345	1584.486938
Cluster_00025	71.03044449	1.25923918	256197.75	238996.3125	212299.125	242366.2188	239547.4531
Cluster_00030	80.03526464	1.259666037	242820.3125	209218.3125	174476.2188	223134	215851.8281
Cluster_00037	82.04767372	2.716030638	3765.143066	3518.450684	2821.518555	2972.935547	3024.989502
Cluster_00038	82.53783658	1.260366288	148012.3281	127398.4453	111077.7969	143621.0469	134831.8281
Cluster_00040	85.08506202	1.262289392	4087.947998	2215	1977.171265	4437.086426	4953.839355
Cluster_00042	86.56231327	1.945657642	7409.085938	8361.931641	8278.871094	8824.040039	8930.538086
Cluster_00043	88.02385211	1.271276424	3167.749512	1799.024414	1815.806274	2654.760254	2383.753174
Cluster_00057	91.54275585	1.261194218	73628.15625	60722.75781	48260.02344	72430.67188	63830.36719
Cluster_00061	96.00954821	4.572495209	1198.349854	1100.043457	1225.02417	1430.780273	1696.191284
Cluster_00084	99.53135017	1.266888849	9050.487305	7857.22998	7006.04541	10668.6748	8588.185547
Cluster_00088	100.5915042	1.489493058	4962.336914	4851.458496	4117.047363	4129.420898	5424.490234
Cluster_00093	108.1008418	1.653722703	4654.569336	5087.974121	5563.575684	5548.118164	6100.430176
Cluster_00098	114.0911273	1.472657733	10749.90625	9877.151367	10145.4209	9721.397461	10925.11133
Cluster_00101	120.0291716	9.515568431	1622.28833	1727.408691	1459.112549	1583.647217	1462.538818
Cluster_00102	120.538508	2.817145893	883.0507813	1009.081665	866.5103149	954.9789429	961.96698
Cluster_00106	124.0007414	1.599617337	891.9633179	567.526062	826.1470337	844.913147	958.99646
Cluster_00107	124.098764	1.603929907	803.2040405	861.1591187	854.7805786	873.5178833	747.2049561
Cluster_00111	126.102268	1.326214954	1804.828613	2000.603271	1496.136963	1617.727173	1837.771851
Cluster_00115	130.6017761	1.657179685	2404.765625	2433.634033	3102.863281	3083.640381	3079.919678
Cluster_00116	132.0705521	1.958963216	5638.96582	5835.755859	6043.352539	6299.80127	6659.996094
Cluster_00117	132.5723672	1.955332346	1758.164673	2157.529297	2176.864258	2448.67627	2696.384521
Cluster_00118	133.0145077	1.952589492	512.6350098	566.8147583	691.9985962	651.8379517	896.2124634
Cluster_00122	135.0671106	1.606802805	1059.571655	1168.819336	1076.443115	1089.207275	1256.188354
Cluster_00124	137.0634398	1.616606381	2889.162109	2937.011475	2877.828125	2382.864502	2655.981445
Cluster_00132	146.0392525	1.267630524	985.1051025	1179.665405	1064.081299	995.4042969	1278.85437
Cluster_00135	146.081432	1.587824939	1225.234985	1140.464355	934.6033325	1067.652954	981.9923706
Cluster_00137	149.0804904	1.455620131	822.7542725	894.8397217	947.9891968	911.2887573	854.8911743
Cluster_00138	150.0296623	1.6074973	1563.253784	1529.296875	1532.993164	1109.862549	1758.917725
Cluster_00139	150.0387224	1.599937169	2383.19458	2421.666992	2713.140869	2174.915527	2639.29834
Cluster_00145	158.0354761	3.487800473	1003.682495	944.7503052	1093.190308	1210.983643	1487.558716
Cluster_00146	158.5866232	3.151560852	2610.368652	2520.97583	2241.478516	2286.88208	2664.847412
Cluster_00148	160.0701043	1.594768163	1030.261719	1072.998413	1027.707397	952.3667603	1103.710205
Cluster_00149	163.5953816	1.52500713	697.6105347	635.2358398	680.4115601	630.727356	640.3433838
Cluster_00153	166.1208376	2.196685055	3102.253906	3596.486572	3287.351807	2901.400146	3391.043457
Cluster_00160	170.0659234	1.523787824	4926.480957	4538.441895	4314.535156	4207.384277	4637.027344
Cluster_00163	172.1211696	1.5936455	7275.220703	7035.163086	6565.3125	7371.245605	6854.485352
Cluster_00166	176.1047656	2.224916749	945.3309326	832.6655273	690.4519043	783.4978638	773.4553223
Cluster_00169	179.1281809	1.55534537	1694.046265	1660.903442	1682.110962	1549.396484	1784.140381
Cluster_00170	179.1282047	2.30179985	2467.669434	2865.719727	3017.45166	2260.992188	2905.337646
Cluster_00171	180.1233813	2.381058113	2252.195068	2418.126465	1932.951416	2384.888672	2321.736084
Cluster_00172	180.1359763	1.594490023	4830.186523	4713.133789	5256.680664	4402.750977	5071.760742
Cluster_00173	180.1360099	5.879038153	1791.008545	1863.466309	1712.418579	1681.192261	2280.974854
Cluster_00174	180.1361225	6.668647711	5789.951172	5700.92334	5137.782227	5239.756836	5881.53418
Cluster_00175	181.1023999	3.420401412	875.6868896	915.4892578	944.5999146	931.3741455	1032.143066
Cluster_00177	181.1307311	1.619658135	705.1796875	825.9290771	812.7770996	794.0823975	892.7640381
Cluster_00185	184.6178619	1.608886105	1134.848145	1295.799438	1039.598633	1148.376343	1277.401978
Cluster_00187	186.1232369	1.618630157	2900.229004	2959.247314	2904.790527	3017.827148	3217.717773
Cluster_00189	187.119744	1.552106603	1395.683105	1494.015869	1517.563721	1407.181885	1601.887085
Cluster_00190	187.1312482	2.971715885	1690.713135	1477.406738	1247.462402	1386.525269	1594.224365
Cluster_00191	187.1438894	2.333488596	2419.314697	2225.797607	2470.190186	2510.314697	2666.740234
Cluster_00193	188.1198472	1.53448105	1310.306763	1333.811768	1329.93103	1341.226563	1268.940308
Cluster_00198	193.063517	1.4838	1205.128418	873.3198853	981.9203491	1005.501709	825.1120605
Cluster_00199	193.1311926	1.611950313	886.5045166	1035.045166	1016.427246	1045.879395	1011.610901
Cluster_00200	193.1313584	2.477265126	2608.367432	2875.794678	2526.48291	2610.942139	3016.912842
Cluster_00203	194.139133	6.994190693	5363.784668	4805.779297	4492.900391	4500.01123	4694.856445
Cluster_00205	195.1272451	1.613584107	1355.962402	1411.319336	1326.622192	1533.28894	1031.052856
Cluster_00207	196.1202275	4.329386443	1210.662109	1088.448242	1203.317505	1061.147461	1275.875854
Cluster_00208	197.1156142	3.107370301	1137.205811	1365.96936	1264.398315	1273.597534	1459.3302
Cluster_00213	201.0886664	8.153815988	5029.835938	5318.690918	4610.580566	5083.046875	5122.270508
Cluster_00214	201.1229177	1.616638171	2164.65625	2133.77002	1858.396362	2141.371338	2066.823242
Cluster_00217	204.135936	9.188282138	3710.701172	3488.995361	3034.5896	3058.112061	3041.346436
Cluster_00218	204.1358802	9.379280958	1214.215088	1196.094238	892.8924561	1010.670349	847.8004761
Cluster_00219	204.1357222	3.786107664	1076.782227	1178.027222	1030.761719	931.0348511	886.0826416
Cluster_00220	205.0640512	5.036066667	523.7228394	620.0195313	555.4584961	608.3540039	600.0583496
Cluster_00226	207.6389322	2.5768164	1256.622314	1246.172119	1138.591797	1172.919189	1338.083984
Cluster_00229	209.1061179	2.723914226	1695.148804	1710.101563	1726.709595	1902.053589	1916.664307
Cluster_00230	209.1259333	1.58469052	937.6218262	1010.545654	957.1948853	933.9935913	1116.794189
Cluster_00231	209.6053751	34.23911506	559.5316772	715.3823853	859.3727417	1180.894043	1259.450684
Cluster_00238	215.654513	4.366410348	839.3515015	798.6856079	531.5445557	659.5877075	743.7145996
Cluster_00239	215.6545733	7.751845448	1151.393677	1201.846924	997.6234741	1088.137085	837.430542
Cluster_00244	218.1391216	9.305014291	3976.468994	3759.507568	3342.765625	3454.011719	3574.010498
Cluster_00246	219.1206866	1.591916667	563.2785034	578.1054688	586.1889648	626.6260376	651.9317017
Cluster_00251	223.652155	3.613533697	3418.240723	3146.233643	3337.743164	3306.590576	3663.966797
Cluster_00258	230.124995	1.520816667	701.2584229	691.3302612	659.0714722	816.1395264	675.8744507
Cluster_00260	233.1565051	1.667599959	1409.245605	1389.477295	1436.770386	1481.415771	1978.530273
Cluster_00264	236.1488427	3.297791443	724.9177856	715.4606934	729.0463257	666.9512939	877.15271
Cluster_00266	237.1443938	1.583479034	713.2327271	895.9558105	887.854187	759.0477295	973.2130127
Cluster_00269	238.6446722	1.572425902	1592.550537	1570.349976	1603.317017	1750.929688	1830.13501
Cluster_00273	240.6441572	3.383695274	639.5887451	678.2870483	699.8733521	674.3740234	735.4065552
Cluster_00277	243.0693333	3.154297933	2562.937256	2526.062012	2479.385498	2601.981201	2942.029297
Cluster_00280	243.1827612	6.930127196	734.7786865	630.0066528	778.2091675	827.2154541	708.5944824
Cluster_00281	244.146308	1.626016667	1005.295776	1328.601196	1114.505737	1000.819885	1198.67688
Cluster_00288	248.1316281	1.576532278	798.0913696	794.4904175	594.401001	564.7973633	641.6437988
Cluster_00290	249.0624448	4.31702244	3399.458008	3218.137695	3055.428223	3319.397217	3737.537598
Cluster_00291	249.0694548	3.067395436	3201.905273	3176.824951	3021.770264	3349.728516	3586.072021
Cluster_00307	258.15807	1.586249792	552.6170654	600.2615356	687.4497681	635.2595825	668.3840332
Cluster_00308	258.186706	2.19703594	2112.21875	2236.859619	1841.742432	2053.828369	1934.703003
Cluster_00318	261.1291597	28.54751474	619.8015137	676.8823242	509.4282532	883.328125	687.8646851
Cluster_00329	265.6681792	7.794310812	1374.80127	1364.061646	1238.782471	1330.841797	1303.758179
Cluster_00349	274.6251308	25.03933552	1625.352417	1726.078613	1777.622314	2357.711182	2397.420654
Cluster_00350	275.5667437	1.550532903	1796.253662	1833.297363	1644.614868	1702.9021	1986.859253
Cluster_00358	278.6382772	31.60140613	630.3939209	563.8060303	653.1633301	826.486084	800.241333
Cluster_00361	279.1974932	4.514547876	851.4291382	1179.33252	774.520813	907.0349731	1003.481201
Cluster_00362	279.1974104	5.86914958	704.4294434	539.2902222	673.1763306	613.1958008	714.1073608
Cluster_00367	282.1343941	26.82025088	1033.022095	1167.250732	1092.306396	1450.739258	1467.525513
Cluster_00381	288.1345325	25.61483837	813.072876	838.7860107	695.328064	1109.064453	1008.556458
Cluster_00382	288.1344663	26.14503736	964.0211792	959.3067017	1009.193481	1219.720581	982.4954834
Cluster_00383	288.1648083	1.590755004	881.2576904	957.1955566	882.6291504	833.217041	852.2910156
Cluster_00385	289.1385626	25.41010561	797.0843506	822.43573	853.3279419	1031.554688	1065.763184
Cluster_00386	289.1384328	30.47543173	1062.768677	1430.735107	1327.483887	1466.229126	1594.069824
Cluster_00387	289.1423212	28.2070075	1802.969482	1880.123901	1996.644653	2788.947754	2254.171387
Cluster_00391	291.09808	12.27296317	4032.634521	3960.612793	3346.602539	3500.066895	3589.138672
Cluster_00392	292.0989566	4.029168739	699.5355835	691.0917358	693.2967529	737.1221924	803.8949585
Cluster_00396	293.6436219	27.42968333	836.7727661	606.0345459	549.0788574	909.9510498	858.9482422
Cluster_00403	299.0798802	17.04367315	8287.998047	8669.926758	8360.450195	8817.680664	9192.176758
Cluster_00404	299.1276319	24.16235553	1146.896362	1170.606201	1241.697021	1349.428223	1493.683716
Cluster_00405	299.126771	24.5918597	1615.602051	1704.693604	1646.0979	2501.973877	2424.819336
Cluster_00407	299.5828067	20.6211421	2909.810547	3163.379395	2528.107666	3213.362305	3495.053223
Cluster_00409	300.1608384	1.520816667	898.911377	893.3266602	918.1668701	674.2839966	868.0087891
Cluster_00423	307.0834828	1.549744908	176239.9219	173075.125	155167.1406	171915.9844	186287.8594
Cluster_00424	307.1097705	1.547289652	2434.748779	2425.953613	2380.952637	2464.889404	2570.874023
Cluster_00425	307.1913598	1.568762371	1433.484253	1457.328491	1226.68457	1235.060059	1596.112305
Cluster_00446	317.5932607	11.63784106	2897.433838	2628.764648	2698.210449	2303.183594	2328.775391
Cluster_00451	320.1035678	16.13390696	7470.25293	7101.57373	5812.199219	6868.595703	6641.655273
Cluster_00463	327.6201514	21.85303557	949.2998657	999.9564819	905.2249146	1109.313965	1378.478149
Cluster_00464	328.0978114	1.576097675	930.5202026	947.2263184	847.2330322	661.6369629	881.0002441
Cluster_00490	364.1264842	2.529771338	935.4540405	914.3027954	747.1519165	1099.124023	882.656311
Cluster_00492	364.7239099	3.340907387	521.8568726	554.0349121	613.2402954	560.1707153	577.2462769
Cluster_00508	387.0434813	9.151459255	614.3312988	680.1480103	584.2560425	724.1312866	784.7352295
Cluster_00612	432.7281868	8.115481882	737.6707764	698.2377319	592.3187256	788.4719849	730.4857178
Cluster_00651	454.8266637	26.96164891	876.1307373	825.0813599	708.9689331	770.8865356	758.7045288
Cluster_00689	480.4727122	27.66968611	667.489563	771.2503662	577.5599976	626.5726929	629.7450562
Cluster_00701	507.267551	27.66915911	1523.072144	1525.00354	1590.040405	1815.964478	1944.920776
Cluster_00723	547.297041	26.12347999	4606.909668	4605.819824	3908.245361	3986.479248	3917.576416
Cluster_00724	547.291371	25.58921667	1683.062134	1547.692749	1284.966431	1189.960815	1392.933838
Cluster_00770	695.493098	41.15754974	5797.71582	6107.584473	5768.137695	6520.740723	6734.39209
