"compound_id"	"ion_adduct"	"ion_rt"	"ion_mz"
"HMDB0001539"	"[M+H]+"	176	203.15025184
"HMDB0000905"	"[M+H]+"	208	332.075445717
"HMDB0001847"	"[M+H]+"	35	195.087651584
"HMDB0001413"	"[M+H]+"	217	490.12243175
"HMDB0000562"	"[M+H]+"	87	114.066187861
"HMDB0000086"	"[M+H]+"	189	258.110100366
"HMDB0000696"	"[M+H]+"	163	150.058325291
"HMDB0000479"	"[M+H]+"	186	170.092402611
"HMDB0003099"	"[M+H]+"	145	183.051266078
"HMDB0000205"	"[M+H-H2O]+"	35	147.044055882
"HMDB0000187"	"[M+H]+"	181	106.049869095
"HMDB0000252"	"[M+H]+"	37	300.289705433
"HMDB0000251"	"[M+H]+"	172	126.021939785
"HMDB0000943"	"[M+Na]+"	130	159.026393366
"HMDB0000030"	"[M+H]+"	72	245.095439078
"HMDB0000929"	"[M+H]+"	155	205.097153638
"HMDB0000870"	"[M+H]+"	172	112.086923303
"HMDB0000214"	"[M+H]+"	190	133.097153638
"HMDB0000158"	"[M+H]+"	168	182.081169223
